Queue,Producer/Consumer Count,Average Throughput per Thread (jobs/sec/thread),
Linked List Queue,1,303593,
Linked List Queue,2,306424,
Linked List Queue,4,262792,
Linked List Queue,6,231841,
Linked List Queue,8,223200,
Circular Buffer Queue (4 cells),1,297003,
Circular Buffer Queue (4 cells),2,315410,
Circular Buffer Queue (4 cells),4,279207,
Circular Buffer Queue (4 cells),6,248863,
Circular Buffer Queue (4 cells),8,249127,
Circular Buffer Queue (16 cells),1,297396,
Circular Buffer Queue (16 cells),2,314706,
Circular Buffer Queue (16 cells),4,278457,
Circular Buffer Queue (16 cells),6,248741,
Circular Buffer Queue (16 cells),8,248913,
moodycamel::ConcurrentQueue,1,293873,
moodycamel::ConcurrentQueue,2,288553,
moodycamel::ConcurrentQueue,4,260596,
moodycamel::ConcurrentQueue,6,224446,
moodycamel::ConcurrentQueue,8,220375,
std::queue (Blocking),1,226918,
std::queue (Blocking),2,201406,
std::queue (Blocking),4,167038,
std::queue (Blocking),6,124475,
std::queue (Blocking),8,106525,
